id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,1173,1274,1233,1232,1203
100200-1,665,714,695,630,611
100200-2,1111,1091,1207,976,853
100300-1,1470,1436,1422,1290,1534
100300-2,2151,2194,2048,2473,2124
100300-3,1946,2097,1966,2127,1740
100400-1,1783,1887,2217,2028,1920
100400-2,1453,1519,1185,1362,1319
100500-1,1055,869,878,1023,1173
100500-2,1331,1224,1424,1234,819
100500-3,2212,3140,2913,2699,2821
100601-1,2278,2125,2212,2301,2201
100602-1,1026,854,906,1025,876
100602-2,1829,1794,1883,1730,1689
100700-1,407,492,422,450,425
100700-2,859,853,650,822,874
100800-1,2148,2074,2094,1993,1894
100800-2,573,810,816,687,654
100900-1,1193,1283,876,882,875
100900-2,1047,1007,1131,1110,1395
101001-1,1098,1041,947,1219,1298
101001-2,3454,3352,3282,3071,2789
101002-1,1924,1789,1799,1436,1487
101002-2,1552,1629,1691,1701,1828
101101-1,2461,2489,2668,2674,2796
101102-1,861,868,1426,1387,1313
101102-2,2381,2405,2134,2325,2028
101102-3,2383,2386,2341,2275,2384
101102-4,2394,2103,2000,2028,1777
101103-1,2753,2638,2793,2813,2643
101201-1,2297,2373,2429,2136,2197
101202-1,1291,1340,1271,1498,1576
101202-2,2083,1991,2164,2470,2458
101303-1,1365,1727,1918,1857,2008
101303-2,1753,1644,2042,2384,2349
101303-3,5279,6445,6637,6496,6863
101304-1,2425,2693,2678,2649,2597
101304-2,1614,1553,1684,1576,1642
101304-3,1484,1304,1515,1381,1107
101305-1,3533,3757,3718,4627,5058
101306-1,1090,1150,1282,1074,1316
101306-2,2272,2220,2531,2695,2528
101306-3,1673,1735,2164,1934,1711
101307-1,2632,2587,2777,2641,2394
101400-1,1083,1027,955,987,979
101400-2,1404,1240,1185,1001,1047
101400-3,3883,4334,4487,4408,4561
101500-1,1038,1034,1128,822,898
101500-2,3385,3085,3013,2794,2794
101500-3,1379,1538,1327,1728,1572
101500-4,1732,1811,1529,1740,1839
101600-1,2878,2902,2815,2983,3479
101600-2,947,1076,1071,1299,1497
101600-3,1561,1596,1761,1643,1551
101700-1,1573,1359,1326,1190,1352
101700-2,2072,2018,2182,2373,2364
101700-3,1207,882,939,1124,1047
101700-4,1718,1805,1583,1412,1476
101700-5,1369,1798,1933,1823,1885
101802-1,3938,4246,4200,3959,3922
101802-2,1471,1309,1464,1909,2267
101802-3,1534,1557,1425,1416,1291
101802-4,2960,2546,2786,2940,2754
101803-1,6212,6292,6153,5572,5294
101803-2,1065,1094,988,1416,1407
101804-1,3184,3069,2987,3403,3830
101804-2,3612,3582,3668,3517,3193
101902-1,2926,2778,2853,2719,2540
101903-1,4303,4230,3969,4710,5219
101903-2,2983,2763,3130,3303,3112
101903-3,1440,1279,1357,1040,1082
101904-1,2637,2612,3178,3528,3831
102001-1,3041,3129,2856,2536,2419
102001-2,1596,1943,2183,3044,3204
102002-1,1704,1930,1852,1727,1459
102002-2,1406,1427,1661,2052,2069
102002-3,4367,4316,4598,4814,5121
102003-1,5291,5834,6016,6294,6702
102004-1,4746,4872,5053,5490,5804
102005-1,2847,3036,2895,2512,2895
102005-2,129,130,102,244,265
102005-3,545,566,773,976,1042
102005-4,971,1489,1200,1006,1259
102006-1,5581,6301,7047,7551,8374
980100-1,160,224,283,283,277
