id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,266,423,471,460,487,504
100200,859,872,946,989,738,719
100300,2625,2779,2950,2756,3162,2872
100400,1350,1684,1706,1554,1528,1458
100500,2564,2555,2641,2730,2403,2283
100601,1241,1173,1101,1153,1147,1151
100602,1430,1492,1418,1496,1462,1378
100700,677,794,756,566,638,620
100800,1863,1276,1461,1442,1413,1389
100900,1393,1049,1090,986,815,822
101001,2256,2264,2216,2157,2289,2070
101002,1771,1757,1714,1715,1441,1715
101101,1508,1305,1350,1350,1256,1243
101102,4121,3904,3744,3999,4109,3969
101103,1163,1443,1382,1449,1373,1274
101201,1253,1381,1398,1426,1214,1268
101202,2001,1703,1764,1745,1934,1979
101303,3015,4099,4819,5250,5487,5631
101304,2175,2584,2507,2690,2842,2679
101305,1308,1666,1766,1908,2365,2647
101306,2204,2639,2678,3068,2882,2814
101307,1179,1516,1436,1555,1446,1190
101400,2628,3102,3182,2967,2687,2864
101500,3882,3799,3768,3558,3370,3444
101600,2562,2835,2927,2947,3135,3482
101700,3599,4070,3923,3899,3906,4086
101802,5043,4869,4900,4947,5211,4954
101803,3493,3773,3807,3820,3861,3426
101804,2763,3574,3386,3477,3428,3475
101902,1202,1592,1441,1477,1424,1306
101903,3863,4402,4157,4293,4781,5097
101904,806,1291,1272,1554,1688,1878
102001,2189,2332,2575,2582,2927,3016
102002,3337,3900,4135,4220,4180,4185
102003,2492,2560,2833,2788,2972,3295
102004,2101,2396,2371,2522,2713,2902
102005,2140,2091,2382,2254,2211,2595
102006,3000,2841,3291,3524,3803,4211
980100,0,21,26,30,33,33
