id,y_2013,y_2014,y_2015,y_2016,y_2017
100100-1,8,12,9,18,9
100200-1,7,6,9,0,0
100200-2,0,0,0,0,0
100300-1,0,0,0,0,0
100300-2,0,82,86,72,62
100300-3,11,9,9,29,18
100400-1,0,18,25,28,47
100400-2,0,0,0,0,0
100500-1,0,0,0,0,0
100500-2,0,0,0,0,0
100500-3,81,83,84,70,73
100601-1,0,5,4,17,17
100602-1,0,0,0,0,0
100602-2,0,0,0,0,0
100700-1,0,0,0,0,0
100700-2,0,0,0,0,0
100800-1,94,51,39,24,10
100800-2,0,27,24,73,69
100900-1,8,18,19,18,18
100900-2,0,8,48,37,40
101001-1,0,0,0,0,8
101001-2,0,0,0,0,0
101002-1,0,15,13,10,8
101002-2,0,0,0,0,0
101101-1,35,27,41,17,15
101102-1,0,0,0,0,0
101102-2,0,0,0,17,29
101102-3,0,0,0,0,0
101102-4,0,0,0,0,0
101103-1,0,0,0,0,0
101201-1,0,7,19,30,40
101202-1,9,9,7,9,9
101202-2,0,0,4,2,4
101303-1,0,0,0,0,0
101303-2,0,0,0,0,0
101303-3,12,0,12,15,44
101304-1,6,7,10,6,0
101304-2,0,0,0,0,0
101304-3,53,64,88,23,0
101305-1,0,0,7,9,11
101306-1,30,0,0,0,0
101306-2,0,0,0,0,0
101306-3,0,0,0,0,0
101307-1,43,19,21,18,21
101400-1,0,0,0,0,0
101400-2,0,0,0,0,0
101400-3,0,0,13,13,12
101500-1,0,0,0,0,0
101500-2,18,23,22,0,0
101500-3,0,0,0,0,0
101500-4,0,0,0,0,0
101600-1,0,0,12,10,9
101600-2,0,0,0,0,0
101600-3,16,30,32,35,23
101700-1,0,0,0,0,0
101700-2,13,12,14,12,0
101700-3,0,0,0,0,0
101700-4,0,0,0,0,0
101700-5,0,0,0,0,0
101802-1,0,0,0,0,0
101802-2,0,0,0,0,0
101802-3,0,0,0,0,0
101802-4,21,28,46,0,0
101803-1,0,0,0,0,20
101803-2,0,0,12,39,39
101804-1,0,0,0,0,0
101804-2,11,12,13,11,0
101902-1,0,0,5,6,7
101903-1,13,75,77,94,82
101903-2,0,0,0,0,0
101903-3,0,0,0,0,0
101904-1,0,0,0,0,0
102001-1,0,0,0,0,0
102001-2,0,0,0,0,0
102002-1,0,0,0,0,11
102002-2,13,20,16,15,18
102002-3,0,0,0,0,0
102003-1,0,14,0,12,32
102004-1,0,0,0,0,0
102005-1,0,0,0,0,0
102005-2,0,0,0,0,0
102005-3,0,0,0,0,0
102005-4,0,0,0,0,0
102006-1,0,0,0,0,0
980100-1,0,0,0,0,0
